"","order_entered","site","date","tide","investigator","recorded_fish_id","id","phylum","subphylum","class","subclass","superorder","order","suborder","infraorder","superfamily","family","genus","species","group","common_name","diversity","taxa","zone_trophic","zone","count","empty","notes","entered","checked","site_code","fish_id","month","season","sex","tl_mm","sl_mm","lifestage"
"65",299,"Refugio",2019-06-26,NA,"Beresford",22,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",42,"No","eggs present","LB","JM 2/16/2021",2,"2_2019-06-26_22",6,"Summer",NA,206,162,"Adult"
"66",301,"Refugio",2019-06-26,NA,"Beresford",23,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",5,"No",NA,"LB","JM 2/16/2021",2,"2_2019-06-26_23",6,"Summer",NA,95,75,"Juvenile"
"67",302,"Refugio",2019-06-26,NA,"Beresford",24,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",8,"No","eggs present","LB","JM 2/16/2021",2,"2_2019-06-26_24",6,"Summer",NA,90,71,"Juvenile"
"68",304,"Refugio",2019-06-27,NA,"Beresford",25,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",7,"No","eggs present","LB","JM 2/16/2021",2,"2_2019-06-27_25",6,"Summer","Male",238,196,"Adult"
"69",306,"Refugio",2019-06-27,NA,"Beresford",26,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",58,"No",NA,"LB","JM 2/16/2021",2,"2_2019-06-27_26",6,"Summer","Female",264,220,"Adult"
"70",307,"Refugio",2019-06-27,NA,"Beresford",27,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",34,"No",NA,"LB","JM 2/16/2021",2,"2_2019-06-27_27",6,"Summer","Male",247,195,"Adult"
"71",308,"Refugio",2019-06-27,NA,"Beresford",28,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",43,"No",NA,"LB","JM 2/16/2021",2,"2_2019-06-27_28",6,"Summer","Female",272,220,"Adult"
"72",309,"Refugio",2019-06-27,NA,"Beresford",29,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",1,"No","sandcrab is partial","LB","JM 2/16/2021",2,"2_2019-06-27_29",6,"Summer","Male",195,162,"Adult"
"73",313,"Refugio",2019-06-27,NA,"Beresford",30,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",1,"No","partial","LB","JM 2/16/2021",2,"2_2019-06-27_30",6,"Summer","Male",241,203,"Adult"
"74",315,"Refugio",2019-06-27,NA,"Beresford",31,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",2,"No","eggs present","LB","JM 2/16/2021",2,"2_2019-06-27_31",6,"Summer","Male",265,210,"Adult"
"75",319,"Percos",2019-07-23,NA,"Beresford",34,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",23,"No",NA,"LB","JM 2/16/2021",1,"1_2019-07-23_34",7,"Summer","Male",295,230,"Adult"
"76",322,"Percos",2019-07-23,NA,"Beresford",35,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",2,"No",NA,"LB","JM 2/16/2021",1,"1_2019-07-23_35",7,"Summer","Female",330,260,"Adult"
"77",323,"Percos",2019-07-23,NA,"Beresford",36,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",10,"No",NA,"LB","JM 2/16/2021",1,"1_2019-07-23_36",7,"Summer","Male",298,244,"Adult"
"78",326,"Percos",2019-07-23,NA,"Beresford",37,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",27,"No","eggs present","LB","JM 2/16/2021",1,"1_2019-07-23_37",7,"Summer","Male",271,215,"Adult"
"79",329,"Percos",2019-07-23,NA,"Beresford",38,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",10,"No",NA,"LB","JM 2/16/2021",1,"1_2019-07-23_38",7,"Summer","Female",301,239,"Adult"
"80",331,"Percos",2019-07-23,NA,"Beresford",39,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",15,"No",NA,"LB","JM 2/16/2021",1,"1_2019-07-23_39",7,"Summer","Male",288,230,"Adult"
"81",334,"Percos",2019-07-23,NA,"Beresford",40,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",72,"No",NA,"LB","JM 2/16/2021",1,"1_2019-07-23_40",7,"Summer","Male",233,184,"Adult"
"82",336,"Percos",2019-07-23,NA,"Beresford",41,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",26,"No",NA,"LB","JM 2/16/2021",1,"1_2019-07-23_41",7,"Summer","Male",221,175,"Adult"
"83",339,"Percos",2019-07-23,NA,"Beresford",42,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",9,"No",NA,"LB","JM 2/16/2021",1,"1_2019-07-23_42",7,"Summer","Male",145,119,"Juvenile"
"84",341,"Percos",2019-07-23,NA,"Beresford",43,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",45,"No",NA,"LB","JM 2/16/2021",1,"1_2019-07-23_43",7,"Summer","Female",322,262,"Adult"
"85",342,"Percos",2019-07-23,NA,"Beresford",44,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",44,"No",NA,"LB","JM 2/16/2021",1,"1_2019-07-23_44",7,"Summer","Female",206,164,"Adult"
"86",343,"Percos",2019-07-23,NA,"Beresford",45,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",16,"No",NA,"LB","JM 2/16/2021",1,"1_2019-07-23_45",7,"Summer","Female",157,123,"Juvenile"
"87",344,"Percos",2019-07-23,NA,"Beresford",46,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",7,"No",NA,"LB","JM 2/16/2021",1,"1_2019-07-23_46",7,"Summer","Female",101,78,"Juvenile"
"88",345,"Percos",2019-07-23,NA,"Beresford",47,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",11,"No",NA,"LB","JM 2/16/2021",1,"1_2019-07-23_47",7,"Summer","Juvenile",95,75,"Juvenile"
"89",347,"Percos",2019-07-23,NA,"Beresford",48,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",3,"No",NA,"LB","JM 2/16/2021",1,"1_2019-07-23_48",7,"Summer","Juvenile",85,66,"Juvenile"
"90",355,"Percos",2019-07-23,NA,"Beresford",50,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",7,"No",NA,"LB","JM 2/16/2021",1,"1_2019-07-23_50",7,"Summer","Juvenile",85,61,"Juvenile"
"91",357,"Percos",2019-09-04,NA,"Beresford",66,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",2,"No",NA,"LB","JM 2/16/2021",1,"1_2019-09-04_66",9,"Fall","Male",109,87,"Juvenile"
"92",358,"Percos",2019-09-04,NA,"Beresford",67,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",2,"No",NA,"LB","JM 2/16/2021",1,"1_2019-09-04_67",9,"Fall","Male",112,88,"Juvenile"
"93",360,"Percos",2019-09-04,NA,"Beresford",68,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",3,"No","1 megalope","LB","JM 2/16/2021",1,"1_2019-09-04_68",9,"Fall","Female",110,88,"Juvenile"
"94",363,"Percos",2019-09-04,NA,"Beresford",69,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",3,"No",NA,"LB","JM 2/16/2021",1,"1_2019-09-04_69",9,"Fall","Female",259,205,"Adult"
"95",366,"Percos",2019-09-04,NA,"Beresford",71,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",7,"No",NA,"LB","JM 2/16/2021",1,"1_2019-09-04_71",9,"Fall","Female",116,84,"Juvenile"
"96",367,"Percos",2019-09-04,NA,"Beresford",72,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",19,"No",NA,"LB","JM 2/16/2021",1,"1_2019-09-04_72",9,"Fall","Female",183,145,"Adult"
"97",368,"Percos",2019-09-04,NA,"Beresford",73,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",13,"No",NA,"LB","JM 2/16/2021",1,"1_2019-09-04_73",9,"Fall","Male",200,158,"Adult"
"98",374,"Percos",2019-09-04,NA,"Beresford",75,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",5,"No",NA,"LB","JM 2/16/2021",1,"1_2019-09-04_75",9,"Fall","Female",250,199,"Adult"
"99",380,"Percos",2019-09-04,NA,"Beresford",77,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",43,"No","3 megalope","LB","JM 2/16/2021",1,"1_2019-09-04_77",9,"Fall","Female",257,200,"Adult"
"100",387,"Percos",2019-09-04,NA,"Beresford",79,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",1,"No",NA,"LB","JM 2/16/2021",1,"1_2019-09-04_79",9,"Fall","Female",207,162,"Adult"
"101",395,"Refugio",2019-09-05,NA,"Beresford",51,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",9,"No",NA,"LB","JM 2/16/2021",2,"2_2019-09-05_51",9,"Fall","Male",125,100,"Juvenile"
"102",398,"Refugio",2019-09-05,NA,"Beresford",52,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",6,"No",NA,"LB","JM 2/16/2021",2,"2_2019-09-05_52",9,"Fall","Male",128,101,"Juvenile"
"103",399,"Refugio",2019-09-05,NA,"Beresford",53,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",5,"No",NA,"LB","JM 2/16/2021",2,"2_2019-09-05_53",9,"Fall","Male",119,93,"Juvenile"
"104",403,"Refugio",2019-09-05,NA,"Beresford",54,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",8,"No",NA,"LB","JM 2/16/2021",2,"2_2019-09-05_54",9,"Fall","Female",130,102,"Juvenile"
"105",404,"Refugio",2019-09-05,NA,"Beresford",55,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",1,"No",NA,"LB","JM 2/16/2021",2,"2_2019-09-05_55",9,"Fall","Juvenile",103,80,"Juvenile"
"106",412,"Refugio",2019-09-05,NA,"Beresford",57,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",1,"No","sandcrab is partial","LB","JM 2/16/2021",2,"2_2019-09-05_57",9,"Fall","Juvenile",100,75,"Juvenile"
"107",236,"Refugio",2020-07-10,NA,"Madden",113,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",9,"No","9 heads, 9 telson","JM 1/28/2021","JM 2/16/2021",2,"2_2020-07-10_113",7,"Summer","Male",163,127,"Juvenile"
"108",233,"Refugio",2020-07-10,NA,"Madden",116,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",15,"No","12 heads, 15 telson","JM 1/28/2021","JM 2/16/2021",2,"2_2020-07-10_116",7,"Summer","Male",162,131,"Adult"
"109",230,"Refugio",2020-07-10,NA,"Madden",127,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",11,"No","11 heads, 9 telson","JM 1/28/2021","JM 2/16/2021",2,"2_2020-07-10_127",7,"Summer","Male",188,148,"Adult"
"110",2,"R Beach",2020-07-14,"Neap","Madden",129,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",7,"No","measured emerita in shell vial; 1 acanthoccephalon","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_129",7,"Summer","Female",171,134,"Adult"
"111",9,"R Beach",2020-07-14,"Neap","Madden",133,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",2,"No","eggs in gut, ovigerous","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_133",7,"Summer","Female",104,81,"Juvenile"
"112",11,"R Beach",2020-07-14,"Neap","Madden",134,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",4,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_134",7,"Summer","Female",90,70,"Juvenile"
"113",12,"R Beach",2020-07-14,"Neap","Madden",135,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",3,"No","2 megalope","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_135",7,"Summer","Female",109,86,"Juvenile"
"114",16,"R Beach",2020-07-14,"Neap","Madden",138,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",13,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_138",7,"Summer","Male",170,134,"Adult"
"115",17,"R Beach",2020-07-14,"Neap","Madden",139,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",4,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_139",7,"Summer","Male",164,129,"Juvenile"
"116",18,"R Beach",2020-07-14,"Neap","Madden",140,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",3,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_140",7,"Summer","Male",100,78,"Juvenile"
"117",19,"R Beach",2020-07-14,"Neap","Madden",141,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",9,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_141",7,"Summer","Male",108,83,"Juvenile"
"118",21,"R Beach",2020-07-14,"Neap","Madden",142,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",3,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_142",7,"Summer","Juvenile",92,72,"Juvenile"
"119",23,"R Beach",2020-07-14,"Neap","Madden",143,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",11,"No","eggs present","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_143",7,"Summer","Female",95,73,"Juvenile"
"120",25,"R Beach",2020-07-14,"Neap","Madden",144,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",2,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_144",7,"Summer","Female",91,72,"Juvenile"
"121",27,"R Beach",2020-07-14,"Neap","Madden",145,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",7,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_145",7,"Summer","Juvenile",86,67,"Juvenile"
"122",28,"R Beach",2020-07-14,"Neap","Madden",146,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",11,"No","eggs present","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_146",7,"Summer","Male",93,73,"Juvenile"
"123",29,"R Beach",2020-07-14,"Neap","Madden",147,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",12,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_147",7,"Summer","Juvenile",84,64,"Juvenile"
"124",35,"R Beach",2020-07-14,"Neap","Madden",150,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",1,"No","18 eggs, pleopod","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_150",7,"Summer","Juvenile",75,59,"Juvenile"
"125",40,"R Beach",2020-07-14,"Spring","Beresford",151,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",1,"No","eggs on pleopods","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-14_151",7,"Summer","Juvenile",69,53,"Juvenile"
"126",46,"R Beach",2020-07-20,"Spring","Madden",153,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",1,"No",NA,"JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_153",7,"Summer","Female",149,118,"Juvenile"
"127",49,"R Beach",2020-07-20,"Spring","Madden",154,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",1,"No","eggs","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_154",7,"Summer","Female",88,68,"Juvenile"
"128",55,"R Beach",2020-07-20,"Spring","Madden",156,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",2,"No","2 nematodes","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_156",7,"Summer","Male",250,197,"Adult"
"129",60,"R Beach",2020-07-20,"Spring","Madden",158,"Emerita analoga","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Anomura","Hippoidea","Hippidae","Emerita","analoga","Decapod","Sand crab","Emerita","Sand crab","Beach suspension feeder","Beach",1,"No","partial, just a large leg in gut","JM 9/16/2020","JM 2/16/2021",3,"3_2020-07-20_158",7,"Summer","Male",92,72,"Juvenile"
